Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
1980,61.1025,"Miami, FL",335718,11474,220,325,4039,6890
,,,,,,,,
1980,58.275,"Milwaukee, WI",633845,3310,74,213,1227,1796
,,,,,,,,
1980,62.145,"Minneapolis, MN",370163,3917,36,373,1241,2267
,,,,,,,,
1980,52.27,"Nashville, TN",452025,3634,87,295,1225,2027
,,,,,,,,
1980,41.6225,"Newark, NJ",330104,11270,163,546,3716,6845
,,,,,,,,
1980,49.725,"Oakland, CA",338721,7536,132,434,2722,4248
,,,,,,,,
1980,63.205,"Omaha, NE",312919,1983,38,213,679,1053
,,,,,,,,
1980,61.79,"Orlando, FL",127811,2350,17,190,1401,742
,,,,,,,,
1980,46.045,"Philadelphia, PA",1681175,17299,436,937,5043,10883
,,,,,,,,
1980,68.4375,"Mesa, AZ",149662,812,10,62,547,193
,,,,,,,,
1980,68.4375,"Phoenix, AZ",772884,7020,103,485,3395,3037
,,,,,,,,
1980,58.76,"Pittsburgh, PA",424205,5120,50,299,1519,3252
,,,,,,,,
1980,52.0575,"Portland, OR",364419,4957,46,364,2298,2249
,,,,,,,,
1980,50.3225,"Raleigh, NC",148429,784,12,64,448,260
,,,,,,,,
1980,54.09,"Sacramento, CA",274547,3221,45,217,1355,1604
,,,,,,,,
1980,47.0025,"Seattle, WA",491897,5201,63,512,2373,2253
,,,,,,,,
1980,61.0125,"Tampa, FL",268709,5089,44,348,2820,1877
,,,,,,,,
1980,61.1225,"Tucson, AZ",331506,2584,38,174,1717,655
,,,,,,,,
1980,82.78,"Tulsa, OK",355766,2715,36,251,1630,798
,,,,,,,,
1980,50.0325,"Washington, DC",635233,12772,200,439,3236,8897
,,,,,,,,
1980,76.1225,"Wichita, KS",279352,1823,32,202,763,826
,,,,,,,,
1981,56.9725,"Albuquerque, NM",336840,2985,45,213,1620,1107
,,,,,,,,
1981,61.1125,"Atlanta, GA",435626,10608,181,644,5246,4537
,,,,,,,,
1981,67.065,"Austin, TX",357607,1545,39,263,574,669
,,,,,,,,
